Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
           8          20           8
   Tdiff       Tdev        RHdiff      RHdev       DPdiff      DPdev       Lat        Lon
 -0.6101     -2.2298      1.0260      0.4717      3.7258      2.2522     40.8267    -73.9513
  0.0020     -1.2759      0.9421      0.4372      2.0784      1.1589     40.8261    -73.9499
 -0.1967     -1.5886      0.8952      0.1648      2.2110      1.2832     40.8255    -73.9485
 -0.4347     -1.4137      0.7930      0.2181      2.1245      1.0901     40.8249    -73.9470
 -0.5159     -1.3035      0.7985      0.0910      1.8697      0.9385     40.8242    -73.9454
  0.0483     -0.9146      0.7999      0.1219      1.3882      0.5856     40.8235    -73.9437
  0.4680     -0.4312      1.0136      0.4344      1.2748      0.5474     40.8228    -73.9422
  0.9912      0.7537      1.2641      1.1173      0.5393      0.0240     40.8222    -73.9407
  1.1705      0.8779      0.7988     -0.0648     -0.8815     -1.0356     40.8216    -73.9393
  1.0774      0.7291      0.2831     -0.6557     -1.0061     -1.5658     40.8210    -73.9379
  1.2930      1.0804      0.1673     -0.7610     -1.2971     -1.9109     40.8204    -73.9367
  1.0659      0.7308     -0.2425     -1.3977     -1.0085     -1.9231     40.8194    -73.9368
  0.2554     -0.4640     -0.6367     -1.7083     -0.4271     -1.2184     40.8186    -73.9358
  0.4192     -0.2523     -0.2137     -0.9002     -0.0279     -0.8117     40.8177    -73.9346
  0.2552     -0.4578     -0.3212     -1.1997     -0.0462     -0.8732     40.8164    -73.9350
  0.2896     -0.3386      0.0144     -0.8221     -0.0119     -0.6132     40.8157    -73.9361
  0.0122     -0.6062      0.1421     -0.8370      0.2229     -0.3865     40.8160    -73.9377
  0.5585     -0.0331      0.3892     -0.5349      0.0225     -0.4701     40.8167    -73.9394
  0.5212      0.0435      0.2778     -0.5417      0.1421     -0.4573     40.8175    -73.9411
  0.0023     -0.4910     -0.0654     -0.9422      0.1530     -0.4438     40.8184    -73.9433
 -1.7604     -2.0789     -0.9571     -0.8121      0.6172      0.6853     40.8109    -73.9631
 -0.8931     -1.1473     -0.3519     -0.2391      0.6381      0.6308     40.8102    -73.9614
 -0.8884     -1.1249     -0.6978     -0.7848      0.6152      0.5329     40.8095    -73.9597
 -0.2689     -0.3706      0.3089      0.3775      1.0174      0.7445     40.8089    -73.9580
 -0.9763     -1.0692      0.0320      0.0914      1.6018      1.1265     40.8084    -73.9568
 -0.5179     -0.6606      0.1573      0.0799      0.8634      0.6756     40.8078    -73.9554
 -0.0407     -0.2223      0.2814      0.1917      0.3323      0.3358     40.8071    -73.9537
  0.1038      0.0203     -0.4192     -0.5845     -0.6511     -0.4560     40.8063    -73.9520
 -0.0885     -0.1279     -0.6117     -0.7600     -0.8234     -0.4972     40.8056    -73.9503
  0.1672      0.1663     -0.1514     -0.3625     -0.3937     -0.3170     40.8049    -73.9486
  0.0097     -0.0648     -0.4214     -0.6957     -0.5936     -0.4270     40.8042    -73.9469
 -0.6074     -0.7935     -0.1546     -0.5309      0.6963      0.3475     40.8035    -73.9452
 -0.1372     -0.4075      0.3771      0.1248      0.9401      0.6005     40.8028    -73.9437
 -0.3471     -0.4933     -0.2034     -0.4495      0.1654      0.1521     40.8021    -73.9422
  0.4166      0.3723      0.4227      0.3374     -0.0431      0.1226     40.8015    -73.9406
  0.7901      0.7158     -0.0693     -0.3278     -0.9409     -0.5999     40.8009    -73.9391
  1.2362      1.1233      0.1017     -0.2482     -1.2178     -0.7543     40.8002    -73.9376
  1.1598      1.0803      0.0928     -0.2485     -1.0131     -0.7132     40.7996    -73.9361
  1.3323      1.2599      0.1278     -0.2897     -1.1475     -0.8553     40.7989    -73.9346
  1.2224      1.0817      0.1136     -0.1945     -0.7941     -0.5809     40.7981    -73.9326
 -2.0167     -1.7120      0.4092      0.4554      1.9081      1.4194     40.7838    -73.9801
 -0.6008     -0.4570      0.2765      0.3776      0.7659      0.4530     40.7830    -73.9783
 -0.7840     -0.7965     -0.4190     -0.4236      0.3715      0.1709     40.7823    -73.9765
 -1.3234     -1.2370     -0.4736     -0.3125      0.9591      0.7152     40.7825    -73.9751
 -1.6133     -1.3190     -0.0940      0.0478      1.4181      1.1001     40.7828    -73.9737
 -1.6899     -1.2629      0.3716      0.6296      1.8907      1.6234     40.7822    -73.9722
 -0.9211     -0.6272      1.1135      1.2358      2.0541      1.5101     40.7814    -73.9708
 -1.2504     -0.9764      1.6193      1.6200      3.3351      1.9947     40.7805    -73.9694
 -1.8653     -1.5163      1.9186      1.9365      4.3570      3.0366     40.7796    -73.9681
 -0.9485     -0.4945      2.9448      3.0256      4.7889      3.2421     40.7788    -73.9667
 -0.3366     -0.0728      2.4972      2.4450      3.2575      2.0781     40.7779    -73.9653
 -1.4366     -1.0340      1.3480      1.4279      2.9152      2.0031     40.7770    -73.9640
 -0.6519     -0.2025      1.4207      1.5554      2.3597      1.4516     40.7763    -73.9623
 -0.8882     -0.4153      0.6816      0.6385      1.7235      0.8469     40.7755    -73.9605
 -1.0394     -0.5357      0.3804      0.4810      1.5620      0.7233     40.7748    -73.9587
 -1.1551     -0.7227     -0.0472      0.0547      1.1869      0.5404     40.7741    -73.9569
 -1.0147     -0.5611      0.1945      0.2949      1.5414      0.6395     40.7733    -73.9551
 -0.6050     -0.3006      0.3626      0.5249      1.4305      0.5655     40.7726    -73.9533
 -0.7350     -0.6176      0.0476      0.1484      1.2718      0.4888     40.7718    -73.9515
 -0.3703     -0.3837      0.2999      0.4457      1.1052      0.4623     40.7709    -73.9493
 -1.1763     -0.8811     -0.0877     -0.5249      0.6581      0.0192     40.7708    -73.9929
 -0.5881     -0.3375     -0.6004     -0.9243     -0.2879     -0.6201     40.7701    -73.9913
 -0.2217     -0.1849     -0.7140     -1.1401     -1.2284     -0.9891     40.7695    -73.9897
  0.3720      0.5045     -0.3850     -0.5717     -1.5034     -1.1606     40.7688    -73.9880
  0.1594      0.2044     -0.5236     -0.7801     -1.4132     -1.0990     40.7681    -73.9864
  0.0208      0.0285     -0.1336     -0.5816     -0.5343     -0.7016     40.7674    -73.9848
 -0.2615     -0.4468     -0.7573     -1.0695     -0.6073     -0.6691     40.7667    -73.9831
 -0.5080     -0.4245     -0.4137     -0.4859      0.1298     -0.1782     40.7660    -73.9815
 -0.5775     -0.4683     -0.3470     -0.4489      0.1952     -0.1458     40.7653    -73.9799
 -0.2127     -0.2427      0.2727      0.0567      0.4517      0.0650     40.7647    -73.9782
 -0.2543     -0.2624     -0.3542     -0.4063     -0.4038     -0.2879     40.7640    -73.9766
 -0.6759     -0.5303     -0.6663     -0.5503     -0.4868     -0.1389     40.7633    -73.9750
 -0.4280     -0.1469     -0.3076     -0.2594     -0.5126     -0.2233     40.7626    -73.9733
 -0.4082     -0.1555     -0.2884     -0.2025     -0.5314     -0.2139     40.7619    -73.9717
  0.2092      0.2472      0.0886      0.0669     -0.7926     -0.3867     40.7612    -73.9701
  0.4628      0.6027     -0.0149      0.0521     -1.5411     -0.6942     40.7606    -73.9684
 -0.1614      0.1346     -0.8427     -0.6333     -1.6458     -0.8970     40.7599    -73.9668
 -0.5177     -0.4388     -0.8835     -1.0978     -1.2721     -0.7238     40.7592    -73.9652
 -0.5332     -0.4164     -0.7582     -0.8520     -0.7216     -0.5210     40.7585    -73.9635
 -1.9414     -1.6728     -1.3569     -1.3197      0.7269      0.1326     40.7576    -73.9615
  1.9995      1.8614     -0.3540     -0.1295     -2.3672     -1.4574     40.7565    -74.0039
  2.1792      2.0756     -1.0771     -0.6531     -3.6508     -2.2014     40.7558    -74.0024
  2.2588      2.0760     -1.8918     -1.4758     -4.5852     -2.6839     40.7551    -74.0008
  0.8708      0.9991     -2.4955     -2.0422     -4.3573     -2.4434     40.7545    -73.9992
  0.7901      1.0608     -1.4057     -0.8238     -3.3074     -1.6606     40.7538    -73.9976
  0.5642      0.8856     -1.3369     -0.7635     -2.7629     -1.3149     40.7531    -73.9960
 -0.0778      0.2418     -1.3693     -0.8973     -2.1451     -0.9075     40.7525    -73.9945
 -0.1143      0.3782     -0.9155     -0.2699     -1.4729     -0.4603     40.7518    -73.9929
  0.8989      1.1773      0.2169      0.6004     -1.4336     -0.4643     40.7511    -73.9913
  1.1966      1.5761     -0.2605      0.2355     -2.0510     -0.9284     40.7505    -73.9897
  0.7812      1.1291     -0.4093     -0.1330     -1.8339     -0.8271     40.7498    -73.9882
 -0.2085      0.2433     -0.8798     -0.4462     -1.3262     -0.4871     40.7491    -73.9866
 -0.1153      0.2730     -0.2967      0.2300     -0.6279     -0.0593     40.7485    -73.9850
 -0.1873      0.2608     -0.1397      0.3801      0.0695      0.1457     40.7478    -73.9834
 -0.3905     -0.1477     -0.3220      0.1747      0.2323      0.1376     40.7471    -73.9818
 -0.6531     -0.3751      0.1655      0.4370      1.4394      0.5767     40.7465    -73.9802
 -0.3926     -0.1767      0.6014      0.8233      1.3445      0.7756     40.7458    -73.9786
 -0.3535     -0.1499      0.8904      1.0880      1.4493      0.9152     40.7451    -73.9771
 -0.8006     -0.6273      0.3378      0.4457      1.3080      0.8391     40.7445    -73.9755
 -1.0771     -0.9225      0.6132      0.8011      1.9670      1.4211     40.7436    -73.9735
  0.4559      0.5234     -0.9831     -0.8928     -1.3751     -0.6748     40.7416    -74.0073
 -0.1019     -0.1030     -1.4868     -1.4746     -1.6218     -0.9701     40.7409    -74.0056
  0.1641      0.2248     -1.1714     -0.8853     -1.6068     -0.8306     40.7402    -74.0040
  0.4607      0.3740     -0.9434     -0.7607     -1.7230     -0.9768     40.7395    -74.0023
  0.0957      0.0259     -1.0985     -0.8116     -1.5754     -0.6101     40.7388    -74.0006
  0.3362      0.3972     -0.4639     -0.1258     -1.2574     -0.4901     40.7382    -73.9990
  0.3593      0.4664     -0.7490     -0.4910     -1.6772     -0.8561     40.7375    -73.9973
 -0.0665      0.0432     -1.1125     -0.7563     -1.5467     -0.7337     40.7368    -73.9957
  0.3393      0.3645     -0.7481     -0.4327     -1.4139     -0.5940     40.7361    -73.9940
  0.6008      0.6424     -0.4855      0.0402     -1.2219     -0.4636     40.7354    -73.9924
  0.0670      0.2360     -1.3915     -0.9540     -1.8655     -0.9976     40.7347    -73.9907
  0.1926      0.1657     -1.0339     -0.7812     -1.7244     -0.8660     40.7340    -73.9890
 -0.3390     -0.3938     -1.3166     -0.9600     -1.3927     -0.5141     40.7333    -73.9874
 -0.1434      0.0991     -0.7532     -0.0161     -1.0278     -0.2344     40.7326    -73.9857
  0.0516      0.2052     -0.6996     -0.1659     -1.1395     -0.3577     40.7319    -73.9840
 -0.4472     -0.3315     -0.8796     -0.5264     -0.8888     -0.1314     40.7312    -73.9824
 -0.4791     -0.2991     -0.6210     -0.0535     -0.5377      0.1265     40.7305    -73.9807
 -0.5272     -0.5355     -0.3293      0.1147     -0.1288      0.3965     40.7298    -73.9791
  0.5000      0.4773     -0.1596      0.3734     -0.8787     -0.1392     40.7291    -73.9774
 -0.1902      0.0796     -0.4913      0.0980     -0.5827      0.0079     40.7282    -73.9752
 -1.0896     -0.9360     -0.0637     -0.0448      0.7523      0.7217     40.7289    -74.0094
 -0.9745     -0.8057     -1.2613     -1.1534     -0.4550     -0.1630     40.7287    -74.0074
 -0.5815     -0.5394     -1.2910     -1.0236     -0.6173     -0.2582     40.7285    -74.0055
 -0.2652     -0.0703     -0.6948     -0.3173     -0.3956     -0.0097     40.7283    -74.0035
  0.6756      0.6841     -0.3046     -0.0135     -1.1264     -0.5353     40.7277    -74.0019
  1.0737      0.8980     -0.6081     -0.3096     -2.1925     -1.1074     40.7271    -74.0005
  1.2490      0.9322     -0.8991     -0.5468     -2.4570     -1.4583     40.7264    -73.9991
  1.6092      1.3582     -1.0896     -0.6434     -2.7546     -1.7455     40.7257    -73.9976
  1.1698      0.9969     -1.1820     -0.7148     -2.7106     -1.6588     40.7251    -73.9961
  0.6359      0.6386     -1.0894     -0.8036     -2.4793     -1.2843     40.7245    -73.9943
  0.9137      1.0258     -0.8362     -0.4790     -2.2548     -1.2397     40.7239    -73.9925
  0.5223      0.5227     -1.1388     -0.8544     -1.7545     -1.0697     40.7234    -73.9908
  0.6200      0.6494     -0.6939     -0.2887     -1.1122     -0.7381     40.7228    -73.9890
  1.4290      1.2732     -0.0658      0.0852     -1.2152     -0.8442     40.7223    -73.9872
  0.7769      0.5554     -0.7225     -0.3743     -1.1079     -0.7689     40.7217    -73.9855
  1.2996      1.0898      0.2717      0.5851     -0.7091     -0.4807     40.7212    -73.9837
  1.2131      1.0695     -0.1194      0.3018     -0.8509     -0.6232     40.7206    -73.9819
  0.7292      0.5421     -0.5555     -0.0439     -0.5151     -0.3951     40.7201    -73.9801
  0.4146      0.4426     -0.5223      0.1343     -0.3557     -0.1827     40.7195    -73.9784
 -0.0892      0.1139     -0.2861      0.2010      0.3790      0.1670     40.7179    -73.9779
 -0.8753     -0.6624      1.1021      1.5988      1.5658      1.5908     40.7174    -74.0149
  0.6647      1.0682      1.4421      1.9384      0.6882      0.7292     40.7167    -74.0133
  0.2320      0.3963      0.6050      0.6779      0.3476      0.4614     40.7161    -74.0118
  0.3785      0.8449      1.2151      1.3333      0.8941      0.8406     40.7154    -74.0103
  0.4823      1.0557      1.4188      1.5131      0.8149      0.7626     40.7147    -74.0087
  0.4679      1.0845      1.7479      1.8925      1.1341      1.0217     40.7140    -74.0072
  0.1214      0.7254      1.6548      1.8941      1.5901      1.4798     40.7132    -74.0059
  0.5803      1.1157      1.6796      1.7277      1.5268      0.8885     40.7125    -74.0060
  0.0070      0.4335      1.1698      1.1244      1.2572      0.8464     40.7119    -74.0051
 -0.2931      0.2239      1.6214      1.7064      2.2682      1.3943     40.7110    -74.0037
 -0.7012     -0.1897      2.1648      2.4153      2.8983      2.3245     40.7101    -74.0024
