Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
           8          20           8
   Tdiff       Tdev        RHdiff      RHdev       DPdiff      DPdev       Lat        Lon
 -1.0161     -1.0027      2.7945      2.5737      4.8455      2.9180     40.8248    -73.9479
 -0.4100     -0.2990      2.8309      2.5620      4.3542      2.4832     40.8237    -73.9487
 -0.3659     -0.2302      2.6528      2.3682      3.6751      2.2565     40.8226    -73.9495
 -0.3042     -0.0819      1.8271      1.6006      2.6630      1.5837     40.8215    -73.9503
 -1.6023     -1.6034      1.1412      0.9997      3.7476      2.0772     40.8204    -73.9511
 -0.1977      0.0177      2.5860      2.2754      3.4687      2.0261     40.8193    -73.9519
 -0.5439     -0.6392      1.6661      1.4427      2.9677      1.6407     40.8182    -73.9527
  1.2493      1.7002      2.6636      2.3048      2.3789      1.2605     40.8171    -73.9535
  0.6687      0.9260      1.2985      1.0713      1.2265      0.6481     40.8160    -73.9543
  0.6454      1.0612      1.3013      1.2594      1.1792      0.6310     40.8149    -73.9551
  1.7340      2.2566      2.1567      1.8583      0.8761      0.3435     40.8138    -73.9559
  2.4008      2.9932      1.9343      1.5630     -0.5282     -0.3497     40.8127    -73.9567
  1.7259      2.0784      0.9601      0.7242     -0.9979     -0.5642     40.8116    -73.9575
  1.8016      2.1394      1.4911      1.2405      0.0440     -0.0121     40.8105    -73.9583
  1.4020      1.6947      1.2264      1.0693      0.2989      0.1090     40.8094    -73.9591
  1.9108      2.2860      1.8753      1.5461      0.5652      0.2216     40.8083    -73.9599
  3.0919      3.5946      1.9326      1.7718     -0.9810     -0.5705     40.8073    -73.9607
  3.3858      3.9396      1.5929      1.4645     -3.8014     -1.7737     40.8062    -73.9615
  3.4160      4.1844      0.4988      0.4408     -4.1604     -2.3043     40.8051    -73.9623
  1.6198      1.9729      0.1319     -0.0532     -1.7947     -1.1190     40.8037    -73.9632
 -3.7792     -4.3853     -0.9709     -0.9590      2.2507      1.5983     40.8023    -73.9643
 -2.2264     -2.7418     -0.1386     -0.0053      2.2593      1.4337     40.8009    -73.9653
 -0.9747     -1.2482     -0.4810     -0.2661      0.6965      0.4070     40.7996    -73.9663
 -1.3015     -1.6866     -1.3703     -1.2254     -0.0052     -0.0747     40.7983    -73.9672
 -1.3647     -1.7783     -0.7902     -0.7470      0.6583      0.3406     40.7969    -73.9682
 -2.3857     -2.9545     -1.0902     -1.1054      1.1239      0.5679     40.7956    -73.9692
 -1.5935     -1.9679     -0.0304     -0.1791      1.7294      1.0236     40.7942    -73.9702
 -1.1110     -1.4702     -0.0771     -0.1657      1.0692      0.5032     40.7929    -73.9711
 -1.2139     -1.5619     -0.3127     -0.3509      0.8162      0.3114     40.7916    -73.9721
