spatial SD among hobo hourly averages for T and DP
       6        2152
   year  month day   hour    Tsd     DPsd
    13     6    24     1   0.478   0.057
    13     6    24     2   0.508   0.052
    13     6    24     3   0.504   0.048
    13     6    24     4   0.491   0.052
    13     6    24     5   0.586   0.071
    13     6    24     6   0.646   0.076
    13     6    24     7   0.663   0.107
    13     6    24     8   0.748   0.150
    13     6    24     9   0.891   0.177
    13     6    24    10   0.912   0.236
    13     6    24    11   0.970   0.223
    13     6    24    12   0.860   0.300
    13     6    24    13   0.913   0.353
    13     6    24    14   0.664   0.195
    13     6    24    15   0.582   0.297
    13     6    24    16   0.546   0.306
    13     6    24    17   0.625   0.364
    13     6    24    18   0.904   0.200
    13     6    24    19   0.479   0.137
    13     6    24    20   0.462   0.491
    13     6    24    21   0.841   0.693
    13     6    24    22   1.131   0.330
    13     6    24    23   0.801   0.710
    13     6    25     0   0.495   0.123
    13     6    25     1   0.484   0.188
    13     6    25     2   0.477   0.241
    13     6    25     3   0.515   0.123
    13     6    25     4   0.572   0.115
    13     6    25     5   0.582   0.095
    13     6    25     6   0.771   0.160
    13     6    25     7   0.889   0.186
    13     6    25     8   0.975   0.235
    13     6    25     9   1.052   0.185
    13     6    25    10   1.122   0.164
    13     6    25    11   1.076   0.128
    13     6    25    12   0.885   0.201
    13     6    25    13   0.805   0.332
    13     6    25    14   0.718   0.377
    13     6    25    15   0.675   0.238
    13     6    25    16   0.586   0.294
    13     6    25    17   0.974   0.289
    13     6    25    18   0.893   0.291
    13     6    25    19   0.608   0.257
    13     6    25    20   0.468   0.132
    13     6    25    21   0.483   0.130
    13     6    25    22   0.583   0.110
    13     6    25    23   0.637   0.132
    13     6    26     0   0.705   0.477
    13     6    26     1   0.667   0.207
    13     6    26     2   0.520   0.142
    13     6    26     3   0.539   0.050
    13     6    26     4   0.514   0.198
    13     6    26     5   0.713   0.129
    13     6    26     6   0.654   0.200
    13     6    26     7   0.557   0.087
    13     6    26     8   0.662   0.107
    13     6    26     9   0.854   0.129
    13     6    26    10   1.094   0.175
    13     6    26    11   1.145   0.197
    13     6    26    12   0.845   0.208
    13     6    26    13   0.767   0.222
    13     6    26    14   0.693   0.184
    13     6    26    15   0.562   0.210
    13     6    26    16   0.543   0.256
    13     6    26    17   0.509   0.306
    13     6    26    18   0.458   0.214
    13     6    26    19   1.372   0.751
    13     6    26    20   1.740   1.063
    13     6    26    21   1.069   0.511
