x, y dims for both T and DP
          14        2154
min interval, smoothing pts, hour avg interval
       3      21       1
 
Temperature Standard Deviations
    year   month     day    hour       1       2       3       4       5       6       7       8       9      10
      13       6      24       1    0.07    0.07    0.12    0.08    0.11    0.11    0.06    0.05    0.05    0.07
      13       6      24       2    0.06    0.11    0.10    0.08    0.09    0.09    0.04    0.05    0.05    0.02
      13       6      24       3    0.04    0.05    0.08    0.07    0.08    0.07    0.04    0.04    0.02    0.03
      13       6      24       4    0.06    0.06    0.05    0.06    0.10    0.08    0.03    0.03    0.02    0.02
      13       6      24       5    0.06    0.03    0.07    0.11    0.12    0.07    0.04    0.02    0.02    0.04
      13       6      24       6    0.05    0.07    0.07    0.06    0.07    0.12    0.04    0.02    0.03    0.12
      13       6      24       7    0.16    0.09    0.10    0.17    0.11    0.09    0.05    0.12    0.05    0.08
      13       6      24       8    0.21    0.09    0.13    0.14    0.25    0.14    0.06    0.11    0.15    0.11
      13       6      24       9    0.22    0.12    0.29    0.17    0.39    0.12    0.11    0.11    0.15    0.19
      13       6      24      10    0.31    0.20    0.21    0.23    0.33    0.10    0.29    0.07    0.14    0.19
      13       6      24      11    0.41    0.21    0.28    0.27    0.36    0.22    0.15    0.13    0.12    0.17
      13       6      24      12    0.34    0.16    0.22    0.20    0.41    0.25    0.12    0.12    0.12    0.32
      13       6      24      13    0.29    0.17    0.16    0.16    0.28    0.31    0.44    0.32    0.27    0.15
      13       6      24      14    0.34    0.21    0.22    0.16    0.22    0.23    0.29    0.16    0.24    0.13
      13       6      24      15    0.35    0.22    0.32    0.14    0.19    0.27    0.61    0.20    0.16    0.24
      13       6      24      16    0.28    0.13    0.15    0.09    0.22    0.19    0.12    0.17    0.16    0.21
      13       6      24      17    0.73    0.33    0.43    0.19    0.28    0.24    0.19    0.13    0.14    0.13
      13       6      24      18    0.41    0.35    0.37    0.19    0.23    0.43    0.26    0.20    0.23    0.31
      13       6      24      19    0.27    0.14    0.16    0.06    0.16    0.20    0.07    0.13    0.15    0.08
      13       6      24      20    0.37    0.12    0.19    0.14    0.22    0.24    0.19    0.05    0.09    0.22
      13       6      24      21    0.22    0.29    0.25    0.14    0.09    0.10    0.31    0.29    0.36    0.46
      13       6      24      22    0.28    0.22    0.19    0.16    0.08    0.08    0.18    0.05    0.06    0.06
      13       6      24      23    0.15    0.12    0.19    0.09    0.12    0.11    0.61    0.10    0.06    0.12
      13       6      25       0    0.11    0.09    0.14    0.07    0.11    0.09    0.33    0.03    0.04    0.08
      13       6      25       1    0.08    0.10    0.13    0.07    0.11    0.10    0.42    0.03    0.03    0.07
      13       6      25       2    0.10    0.07    0.11    0.06    0.13    0.06    0.06    0.04    0.04    0.05
      13       6      25       3    0.12    0.09    0.13    0.07    0.11    0.09    0.05    0.03    0.02    0.05
      13       6      25       4    0.12    0.08    0.10    0.11    0.13    0.13    0.24    0.08    0.03    0.06
      13       6      25       5    0.11    0.10    0.22    0.07    0.17    0.12    0.07    0.13    0.10    0.15
      13       6      25       6    0.07    0.14    0.13    0.08    0.07    0.11    0.17    0.08    0.06    0.08
      13       6      25       7    0.06    0.07    0.24    0.13    0.11    0.13    0.10    0.12    0.04    0.19
      13       6      25       8    0.14    0.08    0.52    0.19    0.41    0.10    0.08    0.08    0.18    0.16
      13       6      25       9    0.12    0.58    0.32    0.26    0.42    0.21    0.14    0.09    0.14    0.11
      13       6      25      10    0.20    0.22    0.23    0.19    0.55    0.14    0.34    0.16    0.19    0.20
      13       6      25      11    0.20    0.19    0.41    0.13    0.45    0.26    0.12    0.15    0.15    0.29
      13       6      25      12    0.25    0.19    0.33    0.27    0.39    0.28    0.23    0.13    0.15    0.17
      13       6      25      13    0.31    0.20    0.30    0.21    0.35    0.15    0.26    0.22    0.16    0.24
      13       6      25      14    0.32    0.28    0.19    0.15    0.37    0.21    0.22    0.22    0.29    0.31
      13       6      25      15    0.32    0.27    0.25    0.25    0.20    0.31    0.23    0.11    0.12    0.10
      13       6      25      16    0.24    0.16    0.19    0.14    0.49    0.24    0.17    0.15    0.09    0.13
      13       6      25      17    0.93    0.72    0.72    0.42    0.46    0.69    0.57    0.40    0.36    0.43
      13       6      25      18    0.33    0.28    0.29    0.19    0.58    0.21    0.20    0.20    0.13    0.18
      13       6      25      19    0.23    0.08    0.16    0.09    0.29    0.18    0.10    0.07    0.07    0.13
      13       6      25      20    0.19    0.06    0.09    0.04    0.11    0.16    0.06    0.05    0.05    0.07
      13       6      25      21    0.22    0.12    0.07    0.07    0.10    0.10    0.11    0.04    0.05    0.06
      13       6      25      22    0.09    0.08    0.13    0.13    0.11    0.15    0.10    0.06    0.04    0.08
      13       6      25      23    0.16    0.16    0.16    0.13    0.13    0.18    0.06    0.05    0.03    0.07
      13       6      26       0    0.21    0.17    0.20    0.17    0.27    0.26    0.14    0.17    0.16    0.15
      13       6      26       1    0.08    0.12    0.14    0.10    0.06    0.25    0.42    0.13    0.13    0.14
      13       6      26       2    0.08    0.19    0.13    0.07    0.08    0.17    0.15    0.14    0.07    0.06
      13       6      26       3    0.10    0.07    0.13    0.05    0.16    0.09    0.11    0.04    0.04    0.07
      13       6      26       4    0.17    0.16    0.14    0.06    0.05    0.06    0.09    0.09    0.07    0.06
      13       6      26       5    0.11    0.09    0.24    0.14    0.11    0.10    0.06    0.03    0.02    0.04
      13       6      26       6    0.11    0.08    0.14    0.12    0.08    0.12    0.12    0.05    0.03    0.06
      13       6      26       7    0.12    0.12    0.09    0.13    0.15    0.10    0.12    0.06    0.03    0.08
      13       6      26       8    0.19    0.10    0.09    0.10    0.33    0.09    0.09    0.12    0.18    0.15
      13       6      26       9    0.21    0.09    0.24    0.24    0.33    0.10    0.11    0.12    0.10    0.08
