Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
     -0.1573     -0.0866      0.7645     -0.3878      2.5064      0.6065     40.8248    -73.9479      0.1891      0.1796      0.3788     15.0663     39.3851      0.0000
      0.1118      0.2617      0.6891     -0.4421      1.5791      0.3814     40.8237    -73.9487      0.1795      0.1747      0.3913     16.2984     39.6793      0.0000
      0.0245      0.1390      0.5518     -0.5585      1.4636      0.3481     40.8226    -73.9495      0.2167      0.1838      0.3311     19.0017     39.6176      0.0000
     -0.0018      0.1363      0.4200     -0.6931      1.3000      0.2562     40.8215    -73.9502      0.2167      0.1838      0.3311     19.0017     46.3159      0.0000
     -0.2482     -0.1462      0.3027     -0.7972      1.6073      0.3344     40.8205    -73.9510      0.2449      0.1781      0.3707     15.0263     38.8354      0.0000
      0.0555      0.1852      0.5555     -0.5700      1.5618      0.3202     40.8194    -73.9518      0.3558      0.1811      0.1860     15.8637     44.1255      0.0000
      0.0891      0.1583      0.4955     -0.6276      1.2827      0.2602     40.8183    -73.9526      0.3688      0.1826      0.2566     18.0198     36.6647      0.0000
      0.2736      0.4141      0.5382     -0.6089      0.8500      0.1921     40.8173    -73.9534      0.3688      0.1826      0.2566     18.0198     24.3395      0.0023
      0.1418      0.2386      0.2282     -0.8601      0.3527      0.0825     40.8162    -73.9541      0.2871      0.1779      0.1115     12.3163     16.2383      0.0023
      0.1118      0.2561      0.1391     -0.8916      0.1427      0.0181     40.8151    -73.9549      0.2742      0.1761      0.1364     21.2820     10.5485      0.0000
      0.2955      0.4066      0.4027     -0.7125      0.4518      0.0729     40.8140    -73.9557      0.2742      0.1761      0.1364     21.2820      7.8730      0.0000
      0.4682      0.6026      0.3945     -0.7498     -0.0236     -0.0420     40.8130    -73.9565      0.1804      0.1832      0.4067     15.6562      7.8730      0.0000
      0.3236      0.3668      0.2318     -0.8923     -0.0782     -0.0493     40.8119    -73.9573      0.1804      0.1832      0.4067     15.6562     12.6763      0.0000
      0.4236      0.4626      0.3055     -0.8106     -0.0245     -0.0363     40.8108    -73.9581      0.1988      0.1761      0.3734     17.1069     20.2093      0.0000
      0.1718      0.1911      0.1009     -0.9748      0.0282     -0.0288     40.8097    -73.9589      0.2821      0.1714      0.2594     18.7775     28.1015      0.0000
      0.3091      0.3523      0.3255     -0.8065      0.3391      0.0486     40.8087    -73.9596      0.2821      0.1714      0.2594     18.7775     34.8157      0.0000
