Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
     -0.1573     -0.0866      0.7645     -0.3878      2.5064      0.6065     40.8248    -73.9479      0.2065     -0.0892      0.1422      0.3136      0.5921     17.8245     39.3851      0.0000
      0.1118      0.2617      0.6891     -0.4421      1.5791      0.3814     40.8237    -73.9487      0.3209     -0.0667      0.1540      0.3407      0.6703     21.6179     39.6793      0.0000
      0.0245      0.1390      0.5518     -0.5585      1.4636      0.3481     40.8226    -73.9495      0.3901     -0.0462      0.1374      0.2989      0.6831     20.4914     39.6176      0.0000
     -0.0018      0.1363      0.4200     -0.6931      1.3000      0.2562     40.8215    -73.9502      0.2373     -0.0759      0.1303      0.2900      0.6571     21.1942     46.3159      0.0000
     -0.2482     -0.1462      0.3027     -0.7972      1.6073      0.3344     40.8205    -73.9510      0.3131     -0.0619      0.1641      0.3641      0.6569     24.6505     38.8354      0.0000
      0.0555      0.1852      0.5555     -0.5700      1.5618      0.3202     40.8194    -73.9518      0.1297     -0.1332      0.1839      0.4157      0.5746     23.6763     44.1255      0.0000
      0.0891      0.1583      0.4955     -0.6276      1.2827      0.2602     40.8183    -73.9526      0.1826     -0.0849      0.1235      0.2734      0.6340     20.8375     36.6647      0.0000
      0.2736      0.4141      0.5382     -0.6089      0.8500      0.1921     40.8173    -73.9534      0.2718     -0.0673      0.1295      0.2852      0.6456     21.4523     24.3395      0.0023
      0.1418      0.2386      0.2282     -0.8601      0.3527      0.0825     40.8162    -73.9541      0.5087      0.0023      0.1613      0.3472      0.5990     24.1174     16.2383      0.0023
      0.1118      0.2561      0.1391     -0.8916      0.1427      0.0181     40.8151    -73.9549      0.2132     -0.0848      0.1477      0.3296      0.5218     21.2945     10.5485      0.0000
      0.2955      0.4066      0.4027     -0.7125      0.4518      0.0729     40.8140    -73.9557      0.7124     -0.0105      0.0862      0.1793      0.5855     13.0796      7.8730      0.0000
      0.4682      0.6026      0.3945     -0.7498     -0.0236     -0.0420     40.8130    -73.9565      0.5562     -0.0145      0.1028      0.2186      0.6114     15.9717      7.8730      0.0000
      0.3236      0.3668      0.2318     -0.8923     -0.0782     -0.0493     40.8119    -73.9573      0.4524     -0.0233      0.1445      0.3112      0.2305     33.2058     12.6763      0.0000
      0.4236      0.4626      0.3055     -0.8106     -0.0245     -0.0363     40.8108    -73.9581      0.2070     -0.0873      0.1391      0.3077      0.4993      9.9898     20.2093      0.0000
      0.1718      0.1911      0.1009     -0.9748      0.0282     -0.0288     40.8097    -73.9589      0.2661     -0.0679      0.1243      0.2760      0.6056     25.3229     28.1015      0.0000
      0.3091      0.3523      0.3255     -0.8065      0.3391      0.0486     40.8087    -73.9596      0.5056     -0.0067      0.1350      0.2897      0.6359     32.0600     34.8157      0.0000
      0.3764      0.4589      0.2636     -0.8170      0.0491     -0.0318     40.8076    -73.9604      0.5033     -0.0086      0.1653      0.3576      0.6033     31.1449     41.6380      0.0000
      0.4664      0.6364      0.2327     -0.8359     -0.4118     -0.1419     40.8065    -73.9612      0.4142     -0.0169      0.1461      0.3166      0.6294     33.6855     39.4387      0.0000
      0.6109      0.7651      0.1027     -0.9555     -1.0264     -0.3042     40.8055    -73.9620      0.1675     -0.1047      0.1627      0.3640      0.6359     38.3670     38.0118      0.0000
      0.2455      0.3094     -0.0082     -1.1257     -0.4527     -0.1812     40.8039    -73.9631      0.1946     -0.0975      0.1525      0.3416      0.9207     40.3020     35.3847      0.0000
     -0.7273     -0.9024     -0.1809     -1.1257      1.7391      0.3747     40.8023    -73.9643      0.2752     -0.0619      0.1226      0.2701      0.6249     32.1773     31.3246      0.0000
     -0.4064     -0.5314     -0.0200     -0.9194      1.2591      0.3264     40.8009    -73.9653      0.2137     -0.0926      0.1624      0.3605      0.6803     22.2839     32.2210      0.0000
