Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
     -1.7267     -1.5841      0.0150     -0.0562      4.1775      1.1831     40.8267    -73.9513      0.6125      0.0014      0.1176      0.2495      0.5756     19.1511     29.0931      0.1474
     -1.0308     -0.9736     -0.0850     -0.0904      2.1700      0.5967     40.8261    -73.9499      0.5932     -0.0183      0.1334      0.2851      0.6614     19.9797     35.6231      0.0590
     -1.1233     -1.0573     -0.1450     -0.2333      2.2017      0.6124     40.8255    -73.9485      0.1964     -0.0965      0.1528      0.3382      0.6578     18.4637     38.7750      0.0023
     -0.9467     -0.8209     -0.1383     -0.1354      1.7008      0.4799     40.8249    -73.9470      0.1607     -0.0955      0.1398      0.3120      0.6085     13.3459     34.2908      0.0000
     -0.6750     -0.6623     -0.0342     -0.1276      1.3058      0.4005     40.8242    -73.9454      0.3017     -0.0639      0.1334      0.2958      0.5808     20.2063     27.0959      0.0000
     -0.6042     -0.5913     -0.2000     -0.2221      0.8075      0.2257     40.8235    -73.9438      0.3379     -0.0578      0.1587      0.3503      0.6194     28.8484     15.8871      0.0000
     -0.4475     -0.4428     -0.1167     -0.1451      0.6742      0.1988     40.8228    -73.9422      0.1875     -0.1025      0.1630      0.3640      0.6330     28.7458      8.3620      0.0000
      0.0458      0.1260      0.1267      0.1978      0.0267     -0.0093     40.8222    -73.9407      0.1807     -0.0870      0.1259      0.2823      0.6315     20.9117      7.7014      0.0023
      0.2408      0.1956     -0.2525     -0.3726     -1.4283     -0.4597     40.8216    -73.9393      0.2292     -0.0837      0.1498      0.3303      0.6390     21.6406      7.6719      0.0658
      0.1908      0.1621     -0.7408     -0.7194     -2.3425     -0.7566     40.8211    -73.9379      0.1811     -0.1057      0.1602      0.3576      0.5774     17.1514      5.7765      0.2086
